x,exact_t0,upwind_t0,quick_t0,exact_t0.5,upwind_t0.5,quick_t0.5,exact_t1,upwind_t1,quick_t1
0.3180000000,-0.7542513807,-0.7542513807,-0.7542513807,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.3200000000,-0.7705132428,-0.7705132428,-0.7705132428,0.0000000000,0.0000000000,-0.0000000004,0.0000000000,0.0000000000,-0.0000000000
0.3220000000,-0.7862884321,-0.7862884321,-0.7862884321,0.0000000000,0.0000000000,-0.0000000004,0.0000000000,0.0000000000,0.0000000000
0.3240000000,-0.8015669849,-0.8015669849,-0.8015669849,0.0000000000,0.0000000000,0.0000000001,0.0000000000,0.0000000000,0.0000000000
0.3260000000,-0.8163392507,-0.8163392507,-0.8163392507,0.0000000000,0.0000000001,0.0000000009,0.0000000000,0.0000000000,-0.0000000000
0.3280000000,-0.8305958992,-0.8305958992,-0.8305958992,0.0000000000,0.0000000001,0.0000000010,0.0000000000,0.0000000000,-0.0000000000
0.3300000000,-0.8443279255,-0.8443279255,-0.8443279255,0.0000000000,0.0000000001,-0.0000000004,0.0000000000,0.0000000000,-0.0000000000
0.3320000000,-0.8575266562,-0.8575266562,-0.8575266562,0.0000000000,0.0000000002,-0.0000000022,0.0000000000,0.0000000000,0.0000000000
0.3340000000,-0.8701837547,-0.8701837547,-0.8701837547,0.0000000000,0.0000000003,-0.0000000023,0.0000000000,0.0000000000,0.0000000000
0.3360000000,-0.8822912264,-0.8822912264,-0.8822912264,0.0000000000,0.0000000005,0.0000000008,0.0000000000,0.0000000000,-0.0000000000
0.3380000000,-0.8938414242,-0.8938414242,-0.8938414242,0.0000000000,0.0000000008,0.0000000051,0.0000000000,0.0000000000,-0.0000000000
0.3400000000,-0.9048270525,-0.9048270525,-0.9048270525,0.0000000000,0.0000000012,0.0000000055,0.0000000000,0.0000000000,0.0000000000
0.3420000000,-0.9152411726,-0.9152411726,-0.9152411726,0.0000000000,0.0000000018,-0.0000000014,0.0000000000,0.0000000000,0.0000000000
0.3440000000,-0.9250772068,-0.9250772068,-0.9250772068,0.0000000000,0.0000000028,-0.0000000113,0.0000000000,0.0000000000,-0.0000000000
0.3460000000,-0.9343289425,-0.9343289425,-0.9343289425,0.0000000000,0.0000000042,-0.0000000132,0.0000000000,0.0000000000,-0.0000000000
0.3480000000,-0.9429905359,-0.9429905359,-0.9429905359,0.0000000000,0.0000000063,0.0000000010,0.0000000000,0.0000000000,-0.0000000000
0.3500000000,-0.9510565163,-0.9510565163,-0.9510565163,0.0000000000,0.0000000094,0.0000000241,0.0000000000,0.0000000000,0.0000000000
0.3520000000,-0.9585217890,-0.9585217890,-0.9585217890,0.0000000000,0.0000000140,0.0000000322,0.0000000000,0.0000000000,0.0000000000
0.3540000000,-0.9653816388,-0.9653816388,-0.9653816388,0.0000000000,0.0000000207,0.0000000046,0.0000000000,0.0000000000,-0.0000000000
0.3560000000,-0.9716317329,-0.9716317329,-0.9716317329,0.0000000000,0.0000000304,-0.0000000479,0.0000000000,0.0000000000,-0.0000000000
0.3580000000,-0.9772681236,-0.9772681236,-0.9772681236,0.0000000000,0.0000000445,-0.0000000765,0.0000000000,0.0000000000,0.0000000000
0.3600000000,-0.9822872507,-0.9822872507,-0.9822872507,0.0000000000,0.0000000646,-0.0000000298,0.0000000000,0.0000000000,0.0000000000
0.3620000000,-0.9866859442,-0.9866859442,-0.9866859442,0.0000000000,0.0000000934,0.0000000852,0.0000000000,0.0000000000,0.0000000000
